goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,season,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,5,0.250144988,90,FWR,Liverpool,West Ham,3,2,2020-02-24,2019,0.040016301,0,1,1,0.250144988,0.170157,0
0,4,0.405267,90,FWR,Norwich,Liverpool,0,1,2020-02-15,2019,0.039721798,0,2,0,0.405267,0.444988996,0
2,4,1.416779995,90,FWR,Liverpool,Southampton,4,0,2020-02-01,2019,0.959841013,0,3,2,1.416779995,2.004879951,0.541293025
1,5,1.024850011,90,FWR,West Ham,Liverpool,0,2,2020-01-29,2019,0.681949973,1,2,0,0.263678014,1.15576005,0.272006005
0,6,0.543143988,87,FWR,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,2019,0.055600699,0,1,0,0.543143988,0.655080974,0.111937001
1,4,0.80201,90,FWR,Liverpool,Manchester United,2,0,2020-01-19,2019,0.489731997,0,3,1,0.80201,1.416409969,0.148937002
0,1,0.096894898,90,FWR,Tottenham,Liverpool,0,1,2020-01-11,2019,0.579545975,1,3,0,0.096894898,0.962261975,0.392331004
1,5,0.802697003,90,FWR,Liverpool,Sheffield United,2,0,2020-01-02,2019,0.674995005,0,3,1,0.802697003,2.22913003,0.874366999
0,2,0.466794014,90,FW,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,2019,0.212136999,0,3,0,0.466794014,0.678930998,0.087876797
0,4,0.316588014,71,FWR,Leicester,Liverpool,0,4,2019-12-26,2019,0.632107019,0,1,0,0.316588014,0.929620981,0.147659004
2,7,0.988243997,90,FW,Liverpool,Watford,2,0,2019-12-14,2019,0,0,0,2,0.988243997,0.988243997,0
1,5,1.250480056,90,FWR,Bournemouth,Liverpool,0,3,2019-12-07,2019,0.635586023,1,4,1,1.250480056,1.577790022,0.341652989
0,2,0.223416001,70,FWR,Liverpool,Brighton,2,1,2019-11-30,2019,0.125497997,0,1,0,0.223416001,0.348913014,0
